,RF
201312,0
201401,0
201402,0
201403,0
201404,0
201405,0
201406,0
201407,0
201408,0
201409,0
201410,0
201411,0
201412,0
201501,0
201502,0
201503,0
201504,0
201505,0
201506,0
201507,0
201508,0
201509,0
201510,0
201511,0
201512,0.01
201601,0.01
201602,0.02
201603,0.02
201604,0.01
201605,0.01
201606,0.02
201607,0.02
201608,0.02
201609,0.02
201610,0.02
201611,0.01
201612,0.03
201701,0.04
201702,0.04
201703,0.03
201704,0.05
201705,0.06
201706,0.06
201707,0.07
201708,0.09
201709,0.09
201710,0.09
201711,0.08
201712,0.09
201801,0.12
201802,0.11
201803,0.11
201804,0.14
201805,0.14
201806,0.14
201807,0.16
201808,0.16
201809,0.15
201810,0.19
201811,0.18
201812,0.2
201901,0.21
201902,0.18
201903,0.19
201904,0.21
201905,0.21
201906,0.18
201907,0.19
201908,0.16
201909,0.18
201910,0.16
201911,0.12
201912,0.14
202001,0.13
202002,0.12
202003,0.13
202004,0
202005,0.01
202006,0.01
202007,0.01
202008,0.01
202009,0.01
202010,0.01
202011,0.01
202012,0.01
202101,0.01
202102,0
202103,0
202104,0
202105,0
202106,0
202107,0
202108,0
202109,0
202110,0
202111,0
202112,0.01
202201,0
202202,0
202203,0.01
202204,0.01
202205,0.03
202206,0.06
202207,0.08
202208,0.19
202209,0.19
202210,0.23
202211,0.29
202212,0.33
202301,0.35
202302,0.34
202303,0.36
202304,0.35
202305,0.36
202306,0.4
202307,0.45
202308,0.45
202309,0.43
