,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
193003,8.07,-0.05,3.13,40.52,3.93,7.38,14.62,7.68,9.68,4.49,11.59,7.75,13.71,14.4,15.99,11.78,4.98,7,29.5,10.6,3.85,-0.72,5.8,5.97,6.56,0.3,2.4,4.49,8.52,4.16
193004,-3.47,-10.37,-8.41,12.75,-2.05,-6.78,1.87,-3.32,-10.34,-11.12,-6.28,-12.2,-1.49,-1.3,-11.92,-11.28,-13.68,-3.75,3.08,1.34,0.53,14.7,-0.35,-2.49,-7.93,-5.47,2.74,1.9,-7.45,2.52
193005,-1.76,-0.51,0.35,-13.25,-6.69,-8.13,-6.75,-1.81,0.35,-3.9,-7.51,-1.9,-5.33,-4.66,-3.76,-6.9,-2.51,-6.67,-5.68,-1.91,-2.33,-9.8,-11.32,-3.53,-2.64,-8.05,-2.25,-1.19,-4.3,-4.67
193006,-14.32,-31.92,-13.64,-21.09,-13.7,-29.37,-12.67,-14.01,-17.57,-16.78,-18.66,-18.84,-20.67,-24.41,-26.75,-18.46,-15.06,-12.36,-19.07,-17.75,-10.33,-16,-25.57,-19.07,-15.75,-29.68,-17.29,-11.29,-17.03,-18.24
193007,0.36,5.15,0.59,7.76,5.49,5.55,4.46,8.97,4.36,3.38,7.33,4.59,5.08,6.5,8.28,2.47,3.79,-3.55,4.04,3.95,4.88,6.66,6.63,4.38,1.05,-5.05,1.45,1.27,4.61,8.57
193008,0.1,5.56,1.2,2.53,-2.1,-6.64,-6.41,1.14,0.75,-0.28,-1.99,-5.01,-1.82,-0.83,-6.59,1.73,-4.88,1.74,-6.34,1.17,1.49,-13.77,2.09,-1.3,-1.43,2.69,0.37,2.31,-0.89,1.61
193009,-13.16,-11.72,-11.88,-20.93,-8.47,-15.59,-11.38,-5.74,-20.19,-15.38,-16.65,-14.22,-18.58,-25.77,-19.32,-19.03,-13.79,-6.27,-20.42,-11.88,-5.65,-8.15,-15.44,-13.61,-13.52,-16.55,-9.9,-11.11,-15.64,-15.99
193010,-0.59,-7.05,-7.63,-9.55,-4.18,-9.6,-8.39,-5.24,-9.58,-3.41,-12.03,-10.14,-15.02,-16.6,-14.64,-7.83,-2.89,-13.32,-12.82,-9.69,-3.02,-1.28,-13.72,-6.73,-9.66,-6.13,-13.05,-7.55,-13.41,-13.08
193011,0.62,-3.84,1.18,-3.61,-4.12,1,-0.85,-2.67,-5.57,-7.1,-2.53,-0.81,-2.87,-1.63,5.77,-1.3,2.88,-7.49,-6.32,-6.29,-2.39,1.91,0.74,-5.88,-5.48,-6.46,-1.08,-2.25,-6.77,0.83
193012,-13.16,-20.55,-9.26,-18.86,3.21,-15.71,-16.36,-9.73,-13.45,-11.24,-12.27,-13.28,-16.13,-17,-11.94,-18.34,-10.68,-20.33,-19.13,-4.63,-2.54,-7.96,-6.78,-16.79,-13.46,-14.19,-17.52,-7.33,-15.59,-11.98
193101,16.7,21.82,13.34,13.9,-0.67,16.88,10.65,7.99,10.72,22.39,11.73,10.43,13.35,19.73,11.44,19.47,12.19,28.56,15.24,5.21,4.39,18.7,8.39,12.36,18.92,14.4,9.4,5.14,21.33,15.86
193102,6.64,18.68,11.93,14.16,6.35,17.17,19.85,16.19,15.29,27.61,14.55,22.14,16.24,29.5,24.2,14.3,17.04,14.65,14.29,15.43,6.01,10.36,15.11,12.58,5.76,6.36,18.97,10.66,18.22,17.38
193103,-0.39,-11.95,-4.01,-8.3,-4.33,-10.21,10.18,0.65,-12.32,-3.54,-4.68,-10.21,-8.29,-13.2,-5.6,-7.12,-2.14,-6.66,-14.46,-4.48,-1,15.64,-8.45,-4.43,-10.5,5.13,-2.9,-5.22,-10.08,18.74
193104,-15.71,-21.2,-0.95,-22.94,-8.39,-12.68,-20.74,-11.43,-16.46,-14.93,-17.85,-18.52,-21.13,-16.68,-19.76,-17.81,-12.67,-17.24,-17.78,-9.96,-7.46,-6.81,-15.89,-18.28,-12.06,-7.93,-10.13,-12.14,-15.78,-15.52
193105,-12.07,-5.35,-12.61,-21.42,-12.55,-15.8,-5.66,-15.91,-11.98,-5.9,-15.95,-19.94,-15.34,-10.25,-16.64,-13.38,-11.53,-14.69,-18.15,-11.67,-8.23,-20.95,-14.33,-11.6,-16.2,-19.11,-8.98,-2.88,-18.15,-8.12
193106,20.63,10.66,12.7,21.73,5.83,11.34,12.35,12.23,20.42,10.41,20.51,26.12,15.84,15.86,21.89,23.21,15.93,2.71,26.26,10.11,10.64,3.23,17.15,19.45,25.13,7.64,7.41,1.06,22.86,10.38
193107,-1.96,-12.22,-2.38,-7.03,-2.66,-7.05,-3.72,-3.3,-6.69,1.59,-7.25,-12.13,-14.07,-11.15,-7.46,-8.06,-6.74,-6.45,-6.93,-2.66,-0.96,-4.65,-8.24,-6.45,-9.75,-11.9,-2.1,-7.99,-9.58,1.89
193108,-5.32,11.29,-1.78,3.18,-7.86,-1.05,-0.54,-1.1,-1.38,2.9,-4.98,-2.05,-4.95,-2.54,-3.89,-5.65,-1.51,3.11,10.37,0.85,-0.2,0.16,-1.98,-0.53,-7.09,-4.02,-0.81,10.74,-2.48,-3.78
193109,-28.61,-31.4,-27.58,-40.19,-24.71,-35.24,-26.24,-31.75,-30.04,-24.59,-31.55,-33.78,-33.61,-38.14,-35.1,-33.57,-22.5,-18.66,-36.03,-32.02,-17.37,-22.84,-37.01,-24.9,-24.21,-20.91,-30.07,-26.99,-36.88,-26.44
193110,12.5,26.35,14.52,9.1,-3.13,16.19,10.97,13.21,18.06,4.96,6.94,12.15,11.3,13.88,15.35,16.38,18.02,-0.78,14.28,8,0.98,0.23,13.95,5.12,-2.14,7.45,7.34,11.24,13.08,2.74
193111,-6.87,-6.73,-3.58,-26.12,-10.75,-2.63,-10.65,-9.05,-12.06,-9.36,-8.9,-8.54,-8.51,-11.6,-2.22,-13.25,-12.12,-9.32,-7.54,-4.52,-13.82,-4.22,-8.33,-8.39,-13.48,-11.56,-8.2,-12.72,-11.32,-6.6
193112,-11.87,-7.21,-0.88,-37.77,-13.09,-19.46,-33.47,-11.51,-11.41,-9.91,-20.45,-21.26,-21,-18.83,-16.39,-21.28,-13.93,-21.75,-22,-12.76,-13.49,-9.49,-19.48,-8.45,-22.14,-23.4,-21,-15.31,-19.17,-16.92
193201,0.64,2.86,4.9,33.64,-9.22,7.18,43.12,0.98,1.95,0.53,5.95,4.13,9.96,5.1,6.89,25.26,5.84,3.69,10.46,-2.15,-1.22,-0.32,8.99,-2.88,19.37,3.37,7.12,-2.42,6.45,12.95
193202,2.81,11.07,-2.68,8.17,1.53,8.23,2.92,-1.71,1.32,5.72,2.11,1.06,2.78,7.13,-0.08,-3.72,-4.14,6.03,3.95,5.62,5.31,4.76,-1.36,8.37,-2.3,0.6,0.83,4.09,7.79,0.03
193203,-8.15,-1.99,-2.25,-18.65,-10.71,-5.98,-10.93,-8.89,-10.06,-6.6,-13.34,-13.73,-12.97,-18.96,-14.76,-20.16,-7.67,-10.04,-2.32,-10.43,-4.34,-8.49,-10.53,-6.17,-16.37,-25.24,-15.43,-11.08,-15.62,-17.48
193204,-17.29,-15.06,-14.64,-20.41,-17.31,-20.48,-18.56,-13.65,-19.24,-11.7,-20.29,-19.57,-25.13,-21.5,-22.77,-11.07,-13.19,-11.28,-12.67,-16.22,-20.4,-15.32,-25.99,-25.22,-18.82,-1,-9.65,-17.66,-19.52,-26.77
193205,-16.73,-14.73,-20.59,-41.48,-23.1,-22.22,-8.44,-26.3,-18.78,-13.9,-15.03,-23.65,-21.68,-27.01,-21.6,-25.09,-11.99,-11.65,-9.24,-29.55,-18.44,-11.22,-9.57,-18.7,-26.02,-12.84,-23.19,-21.16,-24.06,-18.97
193206,11.38,23.2,7.2,5.43,-8.07,0.03,9.02,5.88,4.62,-1.41,10.01,4.92,5.98,14.48,4.87,4.12,-3.16,-4.02,4.14,-0.29,-10.8,-4.16,-3.64,-0.73,2.15,2.99,2.3,-0.26,1.61,2.75
193207,44.03,14.98,30.24,79.03,28.18,42.83,31.1,30.86,32.09,27.64,46.82,62.74,41.34,55.67,40.13,64.23,45.1,34.29,51.55,36.79,30.19,13.36,31.65,10.98,56.45,12.3,26.13,24.73,55.53,36.13
193208,49.59,53.47,28.32,65.96,80.28,49.79,84.15,40.14,63.26,84.14,61.2,81.84,60.91,54.18,82,58.77,67.43,95.87,28.35,65.6,36.21,26.99,53.7,99.51,80.84,76.3,72.06,31.06,74.54,62.51
193209,-6.22,-0.52,-7.36,-10.2,6.36,-2.41,-6.38,-2.82,-3.34,-1.91,-4.65,-7.87,-5.58,-8.73,-0.5,0.35,-5.97,7.32,-12.34,-7.78,1.85,-9.4,-6.42,-14.05,-7.21,32.42,-9.05,2.34,-8.12,-19.39
193210,-13.15,-9.81,-11.52,-20.09,-17.56,-14.71,-12.53,-17.01,-17.72,-17.67,-18.76,-21.83,-17.72,-19.8,-24.64,-22.04,-12.03,-16.46,-6.15,-13.79,-11.86,-10.7,-17.18,-5.33,-19.78,-21.71,-14,-13.27,-14.45,-8.88
193211,-6.3,-5.13,-4.62,-9.71,-13.55,-6.07,-12.71,-3.77,-3.37,-9.44,-2.02,-11.42,-7.49,-12.41,3.55,-10.66,-1.2,-10.05,-2.81,-6.58,-1.24,0.85,-3.23,-0.64,-14.41,-3.36,-8.11,-2.62,-6.25,-7.57
193212,-0.73,5.53,0.84,-13.42,-11.38,-4.69,-4.45,-0.92,4.13,-5.3,-7.46,-6.81,-6.26,-3.11,-3.09,11.5,-5.82,-6.68,-4.43,3.05,-0.48,-8.57,-1.18,-13.08,-3.71,-13.84,-4.53,-3.67,-3.35,-6.19
193301,5.51,-13.41,8.89,-12.43,-2.53,4.4,7.47,-1.45,5.39,-1.83,2.58,3.5,5.48,10.61,0.97,3.44,1.32,3.07,-2.82,-5.68,-0.55,0.48,-1.27,11.96,13.36,-13.03,0.58,16.4,4.74,5.56
193302,-8.81,-2.5,-1.94,-13.5,-12.06,-20.43,-6.65,-11.27,-19.74,-11.75,-15.87,-17.99,-17.67,-18.05,-26.74,-9.8,-8.38,-18.42,-6.82,-21.74,-12.29,-16.25,-14.36,-16.64,-17.08,-5.41,-18.14,-21,-19.1,-12.68
193303,20.44,17.37,9.1,2.78,10.78,3.98,2.68,5.31,16.55,4.92,16.58,19.32,14.3,13.43,5.69,8.96,8.43,24.89,3.75,-12.56,-1.54,-1.05,4.51,18.34,3.3,11.34,21.9,-0.1,1.89,2.45
193304,68.98,23.88,49.19,58.05,27.88,46.89,53.99,23.01,46.46,50.36,43.25,87.64,52.72,58.63,70.91,44.08,61.08,45.03,37.34,35.11,34.49,12.95,48.76,43.55,37.59,47.39,47.05,20.39,40.74,46.76
193305,31.95,128.16,31.65,79.99,52.32,84.15,70.75,34.64,48.6,51.04,98.97,53.12,68.67,55.57,63.19,40,42.9,53.23,62.74,45.53,19.21,59.29,43,75.58,71.96,134.05,59.26,28.98,51.81,103.73
193306,15.78,26.6,18.9,16.05,18.57,12.78,21.18,9,27.69,43.45,23.38,13.67,15.62,19.3,30.25,40.65,22.02,41.56,15.94,20.45,12.65,6.92,11.33,37.15,24.1,45.69,24.4,13.24,19.34,21.53
193307,-5.8,-11.58,-7.63,-3.81,-18.49,-9.41,-5.24,-18.42,-6.53,-16.95,-12.8,-9.27,-16,-11.48,-10.02,-17.72,-8.23,-10.88,-15.37,-17.24,0.95,-4.45,0.31,-2.5,3.17,-4.42,-14.3,-12.42,-11.52,-8.56
193308,8.62,38.3,13.07,12.64,7.25,11.54,4.42,3.55,18.33,12.96,11.81,11.97,13.52,16.68,13.02,17.66,9.77,5.76,18.25,1.55,6.11,0.32,14.08,5.82,7.04,11.93,10.41,6.38,10.24,18.39
193309,-13.17,-3.49,-11.85,-10.8,-26.76,-14.84,-17.17,-7.25,-11.96,-14.19,-17.09,-11.47,-19.58,-18.95,-16.84,-14.12,1.15,-21.28,-5.34,-23.04,-8.52,-11.78,-8.78,-11.11,-22.96,-21.88,-14.82,-12.35,-16.61,-13.66
193310,-8.35,-6.83,-10.09,-9.34,-2,-14.54,-5.06,-4.94,-5.98,-11.51,-9.37,-12.02,-9.58,-13.32,-13.02,-15.25,-9.8,-9,-9.9,-10.32,-7.82,7.75,-12.65,-11.53,-13.84,-0.33,-10.87,-19.58,-14.63,-12.76
193311,3.8,-6.93,4.46,5.93,5.56,9.83,7.3,6.49,11.43,0.96,10.01,9.45,12.17,4.09,11.33,11.71,-0.45,-5.78,10.85,-0.55,3.71,-0.84,18.42,2.72,0.93,1.12,10.29,1.84,4.76,-0.03
193312,-3.04,1.77,-0.79,-3.04,1.14,-3.6,2.55,-10.96,3.31,4.61,4.99,6.29,1.88,10.21,8.85,5.36,-0.82,-10.04,-5.91,-2.41,-0.21,-15.64,10.61,4.62,2.38,-0.74,1.29,9.42,0.1,11.19
193401,24.22,18.96,19.24,32.08,37.16,32.34,37.16,28.57,20.07,33.07,28.62,25,33.1,37,39.91,49.14,11.88,45.07,26.73,28.15,13.45,49.36,33.22,25.39,40.52,25.29,38.33,31.13,40.68,26.99
193402,-0.59,-13.18,-2.5,10.12,5.22,7.73,-1.61,-3.92,0.44,5.92,-0.84,2.08,1.02,-8.08,1.24,-3.93,6.17,11.55,-3.56,0.24,-2.37,-3.81,-0.98,4.25,0.89,12.61,7.8,4.49,-4.2,5.82
193403,-0.24,2.41,3.86,2.54,4.21,-2.4,4.66,-1.9,3.17,-2.1,0.67,-0.2,-1.71,8.18,-1,1.46,0.8,-12.56,-0.04,-1.62,-2.25,7.44,-3.2,3.57,0.06,6.44,4.59,9.69,-0.12,-1.35
193404,3.9,-3.43,1.07,4.9,9.13,5.58,-0.72,1.24,5.78,0.23,-0.09,-4.11,0.6,-4.34,-7.94,-6.8,-5.41,8.11,-1.44,-3.14,-1.63,2.8,0.66,6.26,2.44,1.02,1.6,-6.09,-1.98,-0.58
193405,-5.85,-18.35,-3.87,-2.16,-9.79,-11.66,-12.85,-9.77,-9,-11.39,-11.75,-15.17,-12.19,-9.23,-15.25,-12.57,-2.3,-12.04,-8.43,-10.79,-7.05,-8.64,-7.97,-11.92,-12.5,-12.53,-12.75,-15.13,-7.2,-11.24
193406,4.95,-2.14,7.04,-14.99,-3.16,0.95,-2.35,1.4,3.75,-2.96,0.14,4.73,-0.12,1.43,-6.65,-2.93,2.71,4.71,-0.03,2.71,2.14,-1.91,7.87,-2.82,-2.37,-6.14,1.01,-3.98,-1.18,3.35
193407,-10.26,-25.55,-8.99,-24.07,-18.62,-20.58,-22.38,-12.43,-12.97,-21.71,-20.67,-20.27,-23.02,-19.88,-22.03,-21.69,-16.6,-16.16,-16.88,-22.47,-9.54,-12.4,-13.62,-9.26,-25.45,-19.46,-15.04,-19.01,-18.13,-9.47
193408,9.63,9.88,10.38,16.64,0.99,9.01,5.36,2.43,13.37,5.01,11.24,12.09,13.81,10.94,10.64,9.39,14.81,12.83,7.77,4.23,0.1,-12.94,8.57,4.92,11.74,12.84,7.44,10.29,7.07,8.81
193409,-2.06,-3.93,-1.16,7.35,-0.52,-5.74,3.73,-1.42,0.42,3.9,-2.63,-3.84,-1.1,-1.16,-3.16,-4.44,-6.9,-0.48,-2.09,0.54,0.09,3.14,-0.63,-3.38,-1.9,-3.14,7.73,-3.03,-2.2,-6.09
193410,-3.43,-1.82,6.24,-6,1.13,-2.29,-2.54,1.82,-0.92,-5.82,-0.69,-6.74,1.51,-2.31,-1.67,-0.9,-6.81,-2.94,-4.55,-7.54,-4.45,17.3,2.51,-3.85,-6.63,6.53,6.68,-2.91,-0.41,3.47
